file,score
00000004_1ffb81a71e5b402e966b9341_step_003.step,0.979709267616272
00000003_1ffb81a71e5b402e966b9341_step_002.step,0.9555667638778688
00000001_1ffb81a71e5b402e966b9341_step_000.step,0.9220355749130248
00000006_d4fe04f0f5f84b52bd4f10e4_step_001.step,0.918703556060791
00000008_9b3d6a97e8de4aa193b81000_step_000.step,0.8527573347091675
00000000_290a9120f9f249a7a05cfe9c_step_000.step,0.8043879270553589
00000002_1ffb81a71e5b402e966b9341_step_001.step,0.609797477722168
00000005_d4fe04f0f5f84b52bd4f10e4_step_000.step,0.0454056672751903
00000009_9b3d6a97e8de4aa193b81000_step_001.step,0.0018737867940217
00000007_b33a147f86da49879455d286_step_000.step,0.0010312392842024
